Str_ID,Link_ID,From,Prov_Code,Str_Type,GPS_E,GPS_S,EndGPS_E,EndGPS_S,Obst_Type,Num_Spans,Over_Length,Span_Length,Clear_Soffit,Clear_Width,Walk_Width,Total_Width,Barrier_Height,Des_Type,Mat_Type,Surf_Type
BN000101:0000.05,N000101:0000.0,50,Maputo,BRDG,32.5375823975,-25.946805954,32.5382766724,-25.9461936951,RAIL,5,96.40,21.8,,9.30,1.50,11.60,1.50,BOXG,CONC,ASPH
BN000101:0001.15,N000101:0000.5,1148,Maputo,PEDX,32.5454177856,-25.9398880005,,,ROAD,1,34.30,34.3,6.00,2.80,,2.80,1.10,BEAM,CONC,CONC
BN000101:0002.44,N000101:0000.5,2438,Maputo,BRDG,32.5537490845,-25.9310836792,32.553943634,-25.9308891296,RAIL,1,31.50,12.7,,14.00,2.40,18.50,1.25,BEAM,CONC,ASPH
BN000101:0002.72,N000101:0000.5,2720,Maputo,BRDG,32.5558624268,-25.928861618,32.5564460754,-25.9283332825,ROAD,1,78.00,43,10.60,21.40,7.60,33.80,1.10,BEAM,CONC,ASPH
BN000101:0005.30,N000101:0002.7,5296,Maputo,PEDX,32.5651397705,-25.8887214661,,,ROAD,1,34.30,34.3,6.00,2.80,,2.80,1.35,BEAM,CONC,CONC
BN000101:0007.62,N000101:0002.7,7621,Maputo,PEDX,32.5668182373,-25.8596992493,,,ROAD,1,18.80,15.2,6.20,2.83,,2.83,1.00,BAIL,STEL,STEL
BN000101:0010.92,N000101:0008.9,10918,Maputo,PEDX,32.5654983521,-25.9092769623,,,ROAD,1,34.30,34.3,6.00,2.80,,2.80,1.10,BEAM,CONC,CONC
BN000101:0014.34,N000101:0008.9,14338,Maputo,BRDG,32.5698814392,-25.8292503357,32.5699157715,-25.8291339874,STRM,4,10.00,2.1,1.50,14.70,4.40,20.00,0.90,CULV,CONC,ASPH
BN000101:0015.62,N000101:0015.5,15617,Maputo,BRDG,32.5754432678,-25.817943573,,,ROAD,4,86.00,20,5.50,30.50,,37.70,1.10,SLAB,CONC,ASPH
BN000101:0029.75,N000101:0018.6,29753,Maputo,BRDG,32.6681404114,-25.7441940308,32.7449150085,-25.7449169159,ROAD,3,81.50,34,5.50,12.60,,14.40,1.10,SLAB,CONC,ASPH
BN000101:0077.61,N000101:0077.6,77610,Maputo,BRDG,32.7986679077,-25.4092769623,,,RAIL,1,34.20,13.4,4.75,7.50,,10.00,0.70,BEAM,CONC,
BN000101:0085.80,N000101:0077.6,85801,Maputo,BRDG,32.8123893738,-25.3414173126,32.8124160767,-25.3413619995,RIVR,2,7.00,2.9,2.50,10.00,2.20,12.30,0.95,SLAB,CONC,SEAL
BN000101:0086.01,N000101:0077.6,86006,Maputo,BRDG,32.8125267029,-25.339471817,32.8125572205,-25.3392772675,RIVR,4,23.00,5.5,3.30,10.00,2.20,12.20,1.00,SLAB,CONC,SEAL
BN000101:0086.26,N000101:0077.6,86256,Maputo,BRDG,32.8128623962,-25.3372783661,32.8128318787,-25.3371944427,RIVR,2,7.00,3,2.50,10.00,2.20,11.30,0.95,SLAB,CONC,SEAL
BN000101:0111.23,N000101:0097.2,111233,Maputo,BRDG,32.8064994812,-25.1519451141,32.806640625,-25.1514453888,RIVR,3,58.40,22.5,3.70,7.80,2.00,10.80,1.10,SLAB,CONC,ASPH
