from,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,49,329,72,1,1,2,1,35,1,0,1,19,70,1,46,1,9,0,21,22,1056,6,40,2,1,0,627,1,3,6,329,1,432,51,256,3,591,44,1,16,13,3,0,16,19,43,14,13,2,85,12,8,4,2,0,25,51,329,702,98,21,135,0,147,613,154,73,120,2333,1,149,79,15,1,1,3,1,2,2,2,1,3,1,14,2,1,4,3,1,2,43,26,54,702,6,9,1,20,4,0,17,42,70,143,7,1,2,37,60,1,4,13,1,2,50,2,0,66,13,2,141,184,6,15,6,1,2,189,1,2,50,85,9,1,1,15
3,0,49,0,32,7,0,0,0,0,3,0,0,0,2,7,0,4,0,1,0,2,2,102,1,4,0,0,0,61,0,0,1,32,0,42,5,25,0,57,4,0,2,1,0,0,2,2,4,1,1,0,8,1,1,0,0,0,2,5,32,68,9,2,13,0,14,59,15,7,12,225,0,14,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,5,68,1,1,0,2,0,0,2,4,7,14,1,0,0,4,6,0,0,1,0,0,5,0,0,6,1,0,14,18,1,1,1,0,0,18,0,0,5,8,1,0,0,1
4,1,329,32,0,47,1,1,1,1,23,1,0,1,13,46,1,30,1,6,0,14,14,691,4,26,1,1,0,410,1,2,4,216,1,283,34,168,2,387,29,1,11,9,2,0,11,12,28,9,8,1,55,8,5,3,1,0,16,33,216,460,64,14,89,0,96,402,101,48,78,1528,1,97,52,10,1,1,2,1,1,1,1,1,2,1,9,1,1,2,2,1,1,28,17,35,460,4,6,1,13,2,0,11,27,46,94,4,1,1,24,39,1,2,8,1,1,33,1,0,43,9,1,92,121,4,10,4,1,1,124,1,1,33,56,6,1,1,10
5,0,72,7,47,0,0,0,0,0,5,0,0,0,3,10,0,7,0,1,0,3,3,151,1,6,0,0,0,90,0,0,1,47,0,62,7,37,0,84,6,0,2,2,0,0,2,3,6,2,2,0,12,2,1,1,0,0,4,7,47,100,14,3,19,0,21,88,22,10,17,333,0,21,11,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6,4,8,100,1,1,0,3,1,0,2,6,10,20,1,0,0,5,9,0,1,2,0,0,7,0,0,9,2,0,20,26,1,2,1,0,0,27,0,0,7,12,1,0,0,2
6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,3,1,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,35,3,23,5,0,0,0,0,0,0,0,0,1,5,0,3,0,1,0,1,2,74,0,3,0,0,0,44,0,0,0,23,0,30,4,18,0,41,3,0,1,1,0,0,1,1,3,1,1,0,6,1,1,0,0,0,2,4,23,49,7,1,9,0,10,43,11,5,8,163,0,10,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,4,49,0,1,0,1,0,0,1,3,5,10,0,0,0,3,4,0,0,1,0,0,3,0,0,5,1,0,10,13,0,1,0,0,0,13,0,0,3,6,1,0,0,1
11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
