country_name,ZS_ID,name_pov_2,povPct,povPop,IFP_mean_190,IFP_sum_190,IFP_mean_310,IFP_sum_310,WPO_mean_125,WPO_count_200,GDP_sum_gdp,POP_sum_pop,NDVI_mean,NPP_2010_mean,SOIL_mean,FOR_district_area,FOR_cover_area,FOR_cover_pct,FOR_loss_area,FOR_loss_pct,FOR_loss_annual_area,FOR_loss_annual_pct,BIODIV_pct,EBA_pct,PA_pct,CoastMean,CoastMed,OPollMean,PPollMed,ArtFiMean,ArtFiMed,DemFiMean,DemFiMed,AcidMean,AcidMed,PM_MOD_2010_mean,PM_MOD_2010_max,PM_MOD_ALL_mean,PM_MOD_ALL_max,PM2BRA_mean,PM2BRA_max,PM2DON_2013_max,PM2DON_2013_mean,PM2DON_2013_med,PM2DON_noDu_2013_max,PM2DON_noDu_2013_mean,PM2DON_noDu_2013_med,PM2DON_max,PM2DON_mean,PM2DON_noDu_max,PM2DON_noDu_mean,PM25em_mean,PM25em_max,PM10_mean,PM10_max,BC_mean,BC_max,NOx_mean,NOx_max,HG_mean,HG_max,LC_cat1,LC_cat2,LC_cat3,LC_cat4,LC_cat5,LC_cat6,LC_cat7,LC_cat8,LC_cat9,LC_cat10,LC_topcat_n,LC_topcat,LC_pchtree0005,LC_pchtree0510,LC_treesarea10,LC_treesarea05,LC_treesarea00,LC_areasumras,LC_pLCcat1_00,LC_pLCcat2_00,LC_pLCcat3_00,LC_pLCcat4_00,LC_pLCcat5_00,LC_pLCcat6_00,LC_pLCcat7_00,LC_pLCcat8_00,LC_pLCcat9_00,LC_pLCcat10_00,LC_pchLCcat1,LC_pchLCcat2,LC_pchLCcat3,LC_pchLCcat4,LC_pchLCcat5,LC_pchLCcat6,LC_pchLCcat7,LC_pchLCcat8,LC_pchLCcat9,LC_pchLCcat10,RUGG_mean,areaMolkm,ForestCoverkm,lnGDPcap2
Mozambique,1877,BOANE,10.15960026,6945,81.10317993,729.9285889,92.74456024,834.7010498,,,254.893,59906,115.286,88.14285714,5.779936041,601.5245361,14.07152748,2.339310646,9.666522026,68.69561005,0.743578613,5.284277916,99.35383606,99.35397339,0,6.546363354,6.56583786,0.164700046,0.245286077,0.190370917,0.19038339,0.036597595,0.034259927,0.283250451,0.283250451,6.5,6.699999809,5.528571401,6.199999809,12.22274208,13.24697876,18,16.82664234,17,14,12.65328467,13,15,14.77919674,12,10.97445297,51.917,68.445,0,0,0,0,0,0,0,0,0.679,0.185,0.023,0.032,0,0.052,0,0,0.029,0,Cropland,1,-0.209,-0.001,0.0059,0.0059,0.0075,0.0541,0.650014281,0.21395947,0.022980303,0.03182986,0,0.052240934,0,0.00028547,0.028689696,0,0.044795755,-0.136090726,0,0,,0,,-0.002080061,0,,58334.75974,601.5245361,1.40715E-05,29.80819511
Mozambique,1584,NAMAPA,67.46029663,75882,73.21159363,1903.501343,91.03871155,2367.006592,,,29.2479,116495,196.231,92.85833397,6.670591164,2272.969482,605.1661987,26.62447548,81.40441895,13.451581,6.26187849,1.034736991,77.33325958,0,0,,,,,,,,,,,1.820000017,2.400000095,1.529999995,2.200000048,4.972309561,6.197644234,7,5.965553789,6,6,4.638579756,5,7,5.314255238,5,3.909379959,6.123,13.029,0,0,4.34E-13,9.04E-13,1.726E-12,3.263E-12,0,0,0.807,0.167,0.009,0.004,0,0.004,0.002,0.005,0.002,0,Cropland,1,-0.049,-0.001,0.0298,0.0298,0.0313,0.1888,0.798153162,0.175247207,0.008866552,0.003799951,0,0.004331127,0.002451581,0.004739724,0.002410722,0,0.010494509,-0.047796741,0,0,,0,0,0,0,,72029.68336,2272.969482,0.000605166,68.72071838
Mozambique,1608,MANDIMBA,64.75080109,62684,43.83065796,788.9518433,75.43592834,1357.846802,,,19.7779,66765,183,92.86111043,10.54225166,1544.674316,211.6675262,13.70305252,72.42151642,34.2147522,5.570885658,2.631904125,0,0,0,,,,,,,,,,,4.273333343,5.199999809,3.800000016,4.400000095,8.262962471,9.921746254,11,9.690327613,10,10,9.079563183,9,11,9.999219894,10,9.190327644,3.985,23.503,4.355E-12,2.4845E-11,0,0,0,0,0,0,0.596,0.225,0.144,0.01,0,0.003,0,0,0.022,0,Cropland,1,-0.042,-0.017,0.028,0.0284,0.0297,0.1283,0.58437103,0.2385851,0.142272756,0.009805691,0,0.002646935,6.01576E-05,0,0.022258317,0,0.019971242,-0.056480084,0.012685023,0,,0,0.000511912,,0,,93407.55881,1544.674316,0.000211668,66.00536346
Mozambique,1712,MONGUE,71.11380005,68777,83.31045532,1416.27771,95.8210907,1628.958496,,,5.16799,34552,205.786,95.16111196,13.88607377,1426.47229,794.0980835,55.66866684,56.72291946,7.143062115,4.363301277,0.549466312,20.11346245,11.70805168,0,,,,,,,,,,,4.720000076,5.599999905,4.173333263,4.800000191,8.77889843,10.11814117,13,11.12073272,11,12,10.18234804,10,14,12.37885094,13,11.34054947,8.627,22.723,0,0,0,0,2.295E-12,6.427E-12,0,0,0.778,0.208,0.004,0,0,0.009,0,0,0,0,Cropland,1,0,0,0.025,0.025,0.025,0.1199,0.777892172,0.208338693,0.004439583,0,0,0.009329559,0,0,0,0,8.27425E-05,-0.000308868,0,,,0,,,,,236256.5179,1426.47229,0.000794098,77.57624054
Mozambique,1869,MANHI?A,11.78369999,6776,84.03425598,420.1712952,93.48429871,467.4214783,,,94.9416,25930,133.8,87.0625,0.702445114,413.8858948,64.54686737,15.59532928,4.794933319,7.428607464,0.368841022,0.571431339,100,100,0,,,,,,,,,,,5.149999857,5.199999809,4.925000191,5.300000191,7.459050973,7.493853092,16,14.29110512,14,11,10.27762803,10,14,12.919137,10,9.072775841,27.051,27.051,2.9458E-11,2.9458E-11,0,0,6.688E-12,6.688E-12,0,0,0.83,0.163,0,0.007,0,0,0,0,0,0,Cropland,1,-0.041,-0.02,0.006,0.0061,0.0063,0.0369,0.819339991,0.173558891,0,0.007101086,0,0,0,0,0,0,0.012745341,-0.060168579,,0,,,,,,,27673.77861,413.8858948,6.45469E-05,31.47090912
Mozambique,1853,CHIDENGUELE,46.89160156,26377,81.55860138,734.0274048,94.72088623,852.4879761,,,14.014,26506,159.857,95.40625,1.784722298,722.9719238,148.9450073,20.60176849,29.84938049,20.04053688,2.2961061,1.541579723,99.68806458,99.6880188,0,2.490451097,2.196783781,0.046713658,0.039041366,0.024312921,0.023533097,0.105777666,0.099661909,0.418201476,0.290454745,2.450000003,3,2.337499991,2.700000048,5.414657772,5.89893198,8,7.7734375,8,5,4.284375,4,7,6.864062309,4,3.787499905,13.726,13.726,0,0,0,0,0,0,0,0,0.732,0.136,0.049,0.01,0,0.003,0,0,0.072,0,Cropland,1,-0.006,-0.021,0.0085,0.0087,0.0087,0.0644,0.727958798,0.139434591,0.048514616,0.009942501,0,0.002515573,0,0,0.071633928,0,0.005101194,-0.026632367,0,0,,0,,,0,,63773.61762,722.9719238,0.000148945,56.9280777
Mozambique,1834,CHIVONGOENE,40.93769836,11761,82.44368744,659.5494995,95.34482574,762.758667,,,2.57878,14587,111.625,74.01388931,2.40635599,733.1417847,25.25372314,3.444589138,9.586488724,37.96069336,0.737422228,2.920053244,13.22940063,0,0,,,,,,,,,,,4.566666683,4.900000095,4.466666698,4.5,7.354304041,7.593165874,12,11.521875,12,9,8.0140625,8,11,10.35312462,8,7.020312309,14.741,28.255,0,0,8.85E-13,1.731E-12,0,0,0,0,0.438,0.457,0.009,0.017,0,0,0,0,0.078,0,Forest,2,-0.009,0,0.028,0.028,0.0283,0.0649,0.434586108,0.461108476,0.009395814,0.017007612,0,0,0,0,0.077901997,0,0.008210203,-0.008769683,0,0.027971877,,,,,0,,18868.2508,733.1417847,2.52537E-05,74.65944672
Mozambique,1742,INHANGOMA,73.3082962,46888,58.33144379,583.3143921,90.90092468,909.0092773,,,3.37547,21901,138.429,75.85185326,0.904934736,778.8601074,13.89671993,1.784238219,6.809384823,48.99994278,0.523798823,3.769226313,18.76810265,91.75999451,0,,,,,,,,,,,6.499999947,7.099999905,5.766666677,6.199999809,8.292760054,8.644669533,15,12.96646341,13,13,11.34603659,11,17,14.85670757,15,13.13871956,10.994,13.295,1.1808E-11,1.4235E-11,7.47E-13,9.44E-13,2.653E-12,3.366E-12,0,0,0.532,0.018,0.001,0.003,0,0.408,0,0,0.039,0,Cropland,1,-0.692,0,0,0,0.0001,0.0659,0.530781806,0.018960673,0.001170412,0.002574906,0,0.407888591,0,0,0.038623597,0,0.001984527,-0.055555999,0.000511935,0,,0,,,0,,11714.47895,778.8601074,1.38967E-05,77.04894257
Mozambique,1536,MATONDOVELA,73.37750244,554,44.45811462,4534.728027,75.8418045,7735.86377,,,1.90548,6134,204.732,86.34215671,18.75017391,8400.71875,3146.451416,37.4545517,22.33616829,0.709884405,1.718166828,0.054606494,0,0,99.63941956,,,,,,,,,,,3.692941178,4.599999905,2.959999988,3.299999952,6.930887565,9.473758698,10,8.560444316,9,9,7.961771495,8,8,7.338574886,8,6.665897369,0.757,2.08,8.73E-13,2.421E-12,0,0,0,0,0,0,0.326,0.561,0.1,0.012,0,0,0,0,0.001,0,Forest,2,-0.001,-0.001,0.3886,0.389,0.3894,0.6931,0.324961871,0.561900973,0.099566951,0.012468134,0,0.00024491,0,5.56613E-05,0.000801523,0,0.003185925,-0.001941559,0.000559017,0,,0,,0.000513162,0,,36432.41837,8400.71875,0.003146451,65.23579407
Mozambique,1920,DISTRITO URBANO N?5,3.23149991,10450,,,,,,,544.955,221137,,81.66666412,6.556596443,59.02141571,4.014074326,6.801047325,0.670910835,16.71396065,0.051608525,1.285689235,97.9016571,97.89913177,0,6.085233688,6.78680563,0.215531796,0.264877528,0.178483844,0.19038339,0.032239441,0.034133025,0.283250451,0.283250451,5.400000095,5.400000095,5.300000191,5.300000191,8.867014116,11.9446249,15,13.68627451,14,11,9.980392157,10,13,11.92156887,9,8.431372643,94.53,94.53,1.00367E-10,1.00367E-10,5.915E-12,5.915E-12,2.1255E-11,2.1255E-11,0,0,0.336,0.206,0,0.006,0,0.004,0.42,0,0.028,0,Urban_area,7,-0.121,0,0.0004,0.0004,0.0004,0.0053,0.325581402,0.216569766,0,0.005813953,0,0.004360465,0.420058131,0,0.027616279,0,0.031249832,-0.046979528,,0.001159846,,-0.002077983,0,,0,,51126.57692,59.02141571,4.01407E-06,36.07004929
